"ensgene","log2FoldChange","pvalue","padj","contrast","symbol","description","region"
"ENSMUSG00000050063",1.66717579663439,0.00521004573549747,0.0980441897620298,"DOM - DES","Klk6","kallikrein related-peptidase 6 [Source:MGI Symbol;Acc:MGI:1343166]","MeA"
"ENSMUSG00000076439",1.61219963056278,9.36490850892463e-07,0.000603018673987712,"DOM - DES","Mog","myelin oligodendrocyte glycoprotein [Source:MGI Symbol;Acc:MGI:97435]","MeA"
"ENSMUSG00000038668",1.55252221533147,1.04595025943706e-08,0.00010347420563865,"DOM - DES","Lpar1","lysophosphatidic acid receptor 1 [Source:MGI Symbol;Acc:MGI:108429]","MeA"
"ENSMUSG00000023945",1.54691932179607,0.000280677514770064,0.0188092035916048,"DOM - DES","Slc5a7","solute carrier family 5 (choline transporter), member 7 [Source:MGI Symbol;Acc:MGI:1927126]","MeA"
"ENSMUSG00000085042",1.52006375787333,0.00209883405614919,0.0604741874933259,"DOM - DES","Abhd11os","abhydrolase domain containing 11, opposite strand [Source:MGI Symbol;Acc:MGI:1917062]","MeA"
"ENSMUSG00000046805",1.50858786022372,0.00143915063257761,0.0499990720814006,"DOM - DES","Mpeg1","macrophage expressed gene 1 [Source:MGI Symbol;Acc:MGI:1333743]","MeA"
"ENSMUSG00000047797",1.50558726809011,7.69595564452392e-05,0.00844274837743699,"DOM - DES","Gjb1","gap junction protein, beta 1 [Source:MGI Symbol;Acc:MGI:95719]","MeA"
"ENSMUSG00000032854",1.48041033409822,1.71759285422981e-08,0.00010347420563865,"DOM - DES","Ugt8a","UDP galactosyltransferase 8A [Source:MGI Symbol;Acc:MGI:109522]","MeA"
"ENSMUSG00000006764",1.46843035596103,0.00207541644387537,0.060361001382328,"DOM - DES","Tph2","tryptophan hydroxylase 2 [Source:MGI Symbol;Acc:MGI:2651811]","MeA"
"ENSMUSG00000032517",1.45801745421184,1.88380598914979e-05,0.0037001434095381,"DOM - DES","Mobp","myelin-associated oligodendrocytic basic protein [Source:MGI Symbol;Acc:MGI:108511]","MeA"
"ENSMUSG00000005716",1.44233838573177,0.000838964436758636,0.036437135801746,"DOM - DES","Pvalb","parvalbumin [Source:MGI Symbol;Acc:MGI:97821]","MeA"
"ENSMUSG00000035413",1.43299826889925,9.99552165948221e-07,0.000616806982403881,"DOM - DES","Tmem98","transmembrane protein 98 [Source:MGI Symbol;Acc:MGI:1923457]","MeA"
"ENSMUSG00000033579",1.41869300719965,4.49094709127453e-06,0.00158359348623276,"DOM - DES","Fa2h","fatty acid 2-hydroxylase [Source:MGI Symbol;Acc:MGI:2443327]","MeA"
"ENSMUSG00000045087",1.39892102692399,2.24596698467153e-05,0.00406867183685873,"DOM - DES","S1pr5","sphingosine-1-phosphate receptor 5 [Source:MGI Symbol;Acc:MGI:2150641]","MeA"
"ENSMUSG00000027375",1.3949771489719,2.79471183358947e-08,0.00010347420563865,"DOM - DES","Mal","myelin and lymphocyte protein, T cell differentiation protein [Source:MGI Symbol;Acc:MGI:892970]","MeA"
"ENSMUSG00000045613",1.38889355634873,1.57027509990595e-05,0.00332225346137245,"DOM - DES","Chrm2","cholinergic receptor, muscarinic 2, cardiac [Source:MGI Symbol;Acc:MGI:88397]","MeA"
"ENSMUSG00000001435",1.36944322535433,0.000161259829981785,0.0588598379433515,"CDOM - DOM","Col18a1","collagen, type XVIII, alpha 1 [Source:MGI Symbol;Acc:MGI:88451]","MeA"
"ENSMUSG00000023990",1.33879978378367,7.39526150237628e-05,0.00817434810466087,"DOM - DES","Tfeb","transcription factor EB [Source:MGI Symbol;Acc:MGI:103270]","MeA"
"ENSMUSG00000078771",1.33867614863394,1.5164959411129e-06,0.000817945495542272,"DOM - DES","Evi2a","ecotropic viral integration site 2a [Source:MGI Symbol;Acc:MGI:95458]","MeA"
"ENSMUSG00000044646",1.33223381363692,6.42094051988978e-05,0.0380842034585963,"CDOM - DOM","Zbtb7c","zinc finger and BTB domain containing 7C [Source:MGI Symbol;Acc:MGI:2443302]","MeA"
"ENSMUSG00000037295",1.32030515825445,0.00534571894999916,0.0989626220618595,"DOM - DES","Ldlrap1","low density lipoprotein receptor adaptor protein 1 [Source:MGI Symbol;Acc:MGI:2140175]","MeA"
"ENSMUSG00000041607",1.3198989497473,3.0398678263256e-05,0.00489352635955241,"DOM - DES","Mbp","myelin basic protein [Source:MGI Symbol;Acc:MGI:96925]","MeA"
"ENSMUSG00000036634",1.31532357496638,1.80446086481489e-06,0.000921519496824431,"DOM - DES","Mag","myelin-associated glycoprotein [Source:MGI Symbol;Acc:MGI:96912]","MeA"
"ENSMUSG00000001864",1.31145279506538,0.000295348886863419,0.0191847237475756,"DOM - DES","Aif1l","allograft inflammatory factor 1-like [Source:MGI Symbol;Acc:MGI:1919598]","MeA"
"ENSMUSG00000025584",1.31131106930979,0.000118170980089705,0.0112186680456957,"DOM - DES","Pde8a","phosphodiesterase 8A [Source:MGI Symbol;Acc:MGI:1277116]","MeA"
"ENSMUSG00000031822",1.31020550645577,0.00459828753700738,0.0916109776476922,"DOM - DES","Gse1","genetic suppressor element 1, coiled-coil protein [Source:MGI Symbol;Acc:MGI:1098275]","MeA"
"ENSMUSG00000043448",1.30552699472268,0.000161208566926627,0.0132340555085684,"DOM - DES","Gjc2","gap junction protein, gamma 2 [Source:MGI Symbol;Acc:MGI:2153060]","MeA"
"ENSMUSG00000037625",1.29645723481586,6.63486608027477e-05,0.00786098933190955,"DOM - DES","Cldn11","claudin 11 [Source:MGI Symbol;Acc:MGI:106925]","MeA"
"ENSMUSG00000032259",1.28856758698074,0.00338441529549786,0.0804545594323007,"DOM - DES","Drd2","dopamine receptor D2 [Source:MGI Symbol;Acc:MGI:94924]","MeA"
"ENSMUSG00000004894",1.28549915726216,0.000323591168150728,0.0203067169504758,"DOM - DES","Hapln2","hyaluronan and proteoglycan link protein 2 [Source:MGI Symbol;Acc:MGI:2137300]","MeA"
"ENSMUSG00000026830",1.26867002416888,1.44726207925569e-05,0.00329753098365797,"DOM - DES","Ermn","ermin, ERM-like protein [Source:MGI Symbol;Acc:MGI:1925017]","MeA"
"ENSMUSG00000013523",1.25980361686645,9.72857509830388e-05,0.00986850665793701,"DOM - DES","Bcas1","breast carcinoma amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1924210]","MeA"
"ENSMUSG00000022372",1.24556351687698,0.00406088374293211,0.0856719205595792,"DOM - DES","Sla","src-like adaptor [Source:MGI Symbol;Acc:MGI:104295]","MeA"
"ENSMUSG00000031425",1.235175252216,0.000143395976647348,0.0122750233414584,"DOM - DES","Plp1","proteolipid protein (myelin) 1 [Source:MGI Symbol;Acc:MGI:97623]","MeA"
"ENSMUSG00000066197",1.21083648532287,0.0054191757613116,0.0996993702174222,"DOM - DES","Gpr139","G protein-coupled receptor 139 [Source:MGI Symbol;Acc:MGI:2685341]","MeA"
"ENSMUSG00000004730",1.19905340629872,0.00161497420608385,0.0531516479358551,"DOM - DES","Adgre1","adhesion G protein-coupled receptor E1 [Source:MGI Symbol;Acc:MGI:106912]","MeA"
"ENSMUSG00000071234",1.19689479892846,1.18950399870122e-05,0.00303733693461466,"DOM - DES","Syndig1l","synapse differentiation inducing 1 like [Source:MGI Symbol;Acc:MGI:2685107]","MeA"
"ENSMUSG00000036528",1.19142121001518,0.000208486606657796,0.0156254403128789,"DOM - DES","Ppfibp2","PTPRF interacting protein, binding protein 2 (liprin beta 2) [Source:MGI Symbol;Acc:MGI:894649]","MeA"
"ENSMUSG00000054196",1.18932336070827,0.00296660354853402,0.0747200655676681,"DOM - DES","Cthrc1","collagen triple helix repeat containing 1 [Source:MGI Symbol;Acc:MGI:1915838]","MeA"
"ENSMUSG00000026519",1.18654334003994,7.02102395129973e-05,0.00808270710052192,"DOM - DES","Tmem63a","transmembrane protein 63a [Source:MGI Symbol;Acc:MGI:2384789]","MeA"
"ENSMUSG00000020396",1.18572671062067,2.55064965061319e-06,0.00104930892571059,"DOM - DES","Nefh","neurofilament, heavy polypeptide [Source:MGI Symbol;Acc:MGI:97309]","MeA"
"ENSMUSG00000011148",1.18361815184587,8.09315446385146e-06,0.0024970753668675,"DOM - DES","Adssl1","adenylosuccinate synthetase like 1 [Source:MGI Symbol;Acc:MGI:87947]","MeA"
"ENSMUSG00000020241",1.18241107959137,3.03792280147766e-06,0.0086489662158069,"CDOM - DOM","Col6a2","collagen, type VI, alpha 2 [Source:MGI Symbol;Acc:MGI:88460]","MeA"
"ENSMUSG00000034714",1.16963233058313,2.86360159480915e-07,0.000426773862384812,"DOM - DES","Ttyh2","tweety family member 2 [Source:MGI Symbol;Acc:MGI:2157091]","MeA"
"ENSMUSG00000024985",1.15739510535468,2.88166011063344e-07,0.000426773862384812,"DOM - DES","Tcf7l2","transcription factor 7 like 2, T cell specific, HMG box [Source:MGI Symbol;Acc:MGI:1202879]","MeA"
"ENSMUSG00000032766",1.15671338790728,1.73698269622203e-05,0.00362319911704905,"DOM - DES","Gng11","guanine nucleotide binding protein (G protein), gamma 11 [Source:MGI Symbol;Acc:MGI:1913316]","MeA"
"ENSMUSG00000032060",1.15634253712683,6.42402412362554e-07,0.000592779772071306,"DOM - DES","Cryab","crystallin, alpha B [Source:MGI Symbol;Acc:MGI:88516]","MeA"
"ENSMUSG00000020411",1.15384312455251,0.00331268700475892,0.0791304750652896,"DOM - DES","Nipal4","NIPA-like domain containing 4 [Source:MGI Symbol;Acc:MGI:2444671]","MeA"
"ENSMUSG00000035441",1.14902759061432,0.00340616211735027,0.0805272443163783,"DOM - DES","Myo1d","myosin ID [Source:MGI Symbol;Acc:MGI:107728]","MeA"
"ENSMUSG00000073889",1.14557818245296,0.00415618973083161,0.08698311059964,"DOM - DES","Il11ra1","interleukin 11 receptor, alpha chain 1 [Source:MGI Symbol;Acc:MGI:107426]","MeA"
"ENSMUSG00000026255",1.13497623876698,8.9148033778268e-06,0.0026405647605123,"DOM - DES","Efhd1","EF hand domain containing 1 [Source:MGI Symbol;Acc:MGI:1921607]","MeA"
"ENSMUSG00000031385",1.11020863069711,0.00527209244458224,0.0985854660407361,"DOM - DES","Plxnb3","plexin B3 [Source:MGI Symbol;Acc:MGI:2154240]","MeA"
"ENSMUSG00000020758",1.1069146074745,0.00360090226197953,0.0816847172039698,"DOM - DES","Itgb4","integrin beta 4 [Source:MGI Symbol;Acc:MGI:96613]","MeA"
"ENSMUSG00000020486",1.10593614875905,2.25274200285223e-05,0.00406867183685873,"DOM - DES","Sept4","septin 4 [Source:MGI Symbol;Acc:MGI:1270156]","MeA"
"ENSMUSG00000006782",1.09092196954926,5.88881604784838e-06,0.00198212194701442,"DOM - DES","Cnp","2',3'-cyclic nucleotide 3' phosphodiesterase [Source:MGI Symbol;Acc:MGI:88437]","MeA"
"ENSMUSG00000048707",1.07801243786696,6.349132882447e-08,0.0001502327141167,"DOM - DES","Tprn","taperin [Source:MGI Symbol;Acc:MGI:2139535]","MeA"
"ENSMUSG00000026525",1.07609172490279,0.0040206180518104,0.0854853824558552,"DOM - DES","Opn3","opsin 3 [Source:MGI Symbol;Acc:MGI:1338022]","MeA"
"ENSMUSG00000028871",1.06847664985843,0.000247793461603037,0.0734862484566507,"CDOM - DOM","Rspo1","R-spondin 1 [Source:MGI Symbol;Acc:MGI:2183426]","MeA"
"ENSMUSG00000045341",1.06045116270716,2.2592091421791e-05,0.0267998684490996,"CDOM - DOM","Olfr167","olfactory receptor 167 [Source:MGI Symbol;Acc:MGI:3030001]","MeA"
"ENSMUSG00000028753",1.05797763366548,0.000745912581691047,0.0966915754331124,"CDOM - DOM","Vwa5b1","von Willebrand factor A domain containing 5B1 [Source:MGI Symbol;Acc:MGI:1922968]","MeA"
"ENSMUSG00000049721",1.05511398460906,0.00148066332032529,0.0506434729192092,"DOM - DES","Gal3st1","galactose-3-O-sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1858277]","MeA"
"ENSMUSG00000095440",1.05477297596906,0.00101505583511205,0.0423464138535476,"DOM - DES","Fignl2","fidgetin-like 2 [Source:MGI Symbol;Acc:MGI:3646919]","MeA"
"ENSMUSG00000006403",1.04995901476429,0.00016997045453628,0.0134560788634805,"DOM - DES","Adamts4","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4 [Source:MGI Symbol;Acc:MGI:1339949]","MeA"
"ENSMUSG00000024330",1.0384100796417,0.000165835416141452,0.0134208880494803,"DOM - DES","Col11a2","collagen, type XI, alpha 2 [Source:MGI Symbol;Acc:MGI:88447]","MeA"
"ENSMUSG00000027858",1.03396402327851,4.42014405326604e-06,0.00158359348623276,"DOM - DES","Tspan2","tetraspanin 2 [Source:MGI Symbol;Acc:MGI:1917997]","MeA"
"ENSMUSG00000023064",1.03180841672473,0.000442584071485891,0.0263239763000243,"DOM - DES","Sncg","synuclein, gamma [Source:MGI Symbol;Acc:MGI:1298397]","MeA"
"ENSMUSG00000022425",1.02844501561564,5.27789006082333e-07,0.000558325370005668,"DOM - DES","Enpp2","ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:MGI Symbol;Acc:MGI:1321390]","MeA"
"ENSMUSG00000053399",1.02794680412597,0.00021943176721144,0.069413582361219,"CDOM - DOM","Adamts18","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18 [Source:MGI Symbol;Acc:MGI:2442600]","MeA"
"ENSMUSG00000073982",1.02745957340076,1.90506556108109e-06,0.000940467365320363,"DOM - DES","Rhog","ras homolog family member G [Source:MGI Symbol;Acc:MGI:1928370]","MeA"
"ENSMUSG00000026879",1.0274513925432,0.000226475473870632,0.0162820474175925,"DOM - DES","Gsn","gelsolin [Source:MGI Symbol;Acc:MGI:95851]","MeA"
"ENSMUSG00000049521",1.0269043880272,0.000504232336058739,0.0286276863527515,"DOM - DES","Cdc42ep1","CDC42 effector protein (Rho GTPase binding) 1 [Source:MGI Symbol;Acc:MGI:1929763]","MeA"
"ENSMUSG00000039103",1.01208537238173,0.00153277819659577,0.051474932180461,"DOM - DES","Nexn","nexilin [Source:MGI Symbol;Acc:MGI:1916060]","MeA"
"ENSMUSG00000020377",1.00756964835488,0.00144276099033074,0.0499990720814006,"DOM - DES","Ltc4s","leukotriene C4 synthase [Source:MGI Symbol;Acc:MGI:107498]","MeA"
"ENSMUSG00000031775",1.00251356904713,1.4074203302424e-05,0.00327345819134905,"DOM - DES","Pllp","plasma membrane proteolipid [Source:MGI Symbol;Acc:MGI:1915051]","MeA"
"ENSMUSG00000071648",1.00179052493646,0.00248167905626718,0.0674829049455904,"DOM - DES","Rom1","rod outer segment membrane protein 1 [Source:MGI Symbol;Acc:MGI:97998]","MeA"
"ENSMUSG00000020774",0.997408423358362,0.000600516607878412,0.0314263284900328,"DOM - DES","Aspa","aspartoacylase [Source:MGI Symbol;Acc:MGI:87914]","MeA"
"ENSMUSG00000034327",0.987834232333486,0.000133277611560836,0.012109456608687,"DOM - DES","Kctd9","potassium channel tetramerisation domain containing 9 [Source:MGI Symbol;Acc:MGI:2145579]","MeA"
"ENSMUSG00000032554",0.986442494034761,0.00159991759439979,0.0531273084597777,"DOM - DES","Trf","transferrin [Source:MGI Symbol;Acc:MGI:98821]","MeA"
"ENSMUSG00000019970",0.985778067338709,5.38579800651708e-06,0.00185496903433763,"DOM - DES","Sgk1","serum/glucocorticoid regulated kinase 1 [Source:MGI Symbol;Acc:MGI:1340062]","MeA"
"ENSMUSG00000074170",0.980911496612876,0.0027378604539949,0.0717658642896717,"DOM - DES","Plekhf1","pleckstrin homology domain containing, family F (with FYVE domain) member 1 [Source:MGI Symbol;Acc:MGI:1919537]","MeA"
"ENSMUSG00000055945",0.975893677783527,0.00014086556348894,0.0122750233414584,"DOM - DES","Prr18","proline rich 18 [Source:MGI Symbol;Acc:MGI:2443403]","MeA"
"ENSMUSG00000036098",0.974111214297879,0.000287862608677632,0.0190323447969452,"DOM - DES","Myrf","myelin regulatory factor [Source:MGI Symbol;Acc:MGI:2684944]","MeA"
"ENSMUSG00000020604",0.972777035124204,0.000660900730587249,0.0325459044906772,"DOM - DES","Arsg","arylsulfatase G [Source:MGI Symbol;Acc:MGI:1921258]","MeA"
"ENSMUSG00000031224",0.969175817095537,0.000778388644795213,0.0971961610408759,"CDOM - DOM","Magee2","melanoma antigen, family E, 2 [Source:MGI Symbol;Acc:MGI:2148316]","MeA"
"ENSMUSG00000031139",0.968059910839971,0.00350709470520351,0.0805272443163783,"DOM - DES","Mcf2","mcf.2 transforming sequence [Source:MGI Symbol;Acc:MGI:96932]","MeA"
"ENSMUSG00000041552",0.957529308211616,0.000105635772790537,0.0104297719668524,"DOM - DES","Ptchd1","patched domain containing 1 [Source:MGI Symbol;Acc:MGI:2685233]","MeA"
"ENSMUSG00000018470",0.954525219251263,0.000229143011640271,0.0163154230884251,"DOM - DES","Kcnab3","potassium voltage-gated channel, shaker-related subfamily, beta member 3 [Source:MGI Symbol;Acc:MGI:1336208]","MeA"
"ENSMUSG00000044813",0.940071241914227,0.00354437595571315,0.0808149728624264,"DOM - DES","Shb","src homology 2 domain-containing transforming protein B [Source:MGI Symbol;Acc:MGI:98294]","MeA"
"ENSMUSG00000073680",0.939400650965107,2.28171251639571e-05,0.00407134486359282,"DOM - DES","Tmem88b","transmembrane protein 88B [Source:MGI Symbol;Acc:MGI:2444329]","MeA"
"ENSMUSG00000010066",0.931326426607506,0.000686093366766971,0.0329368002749529,"DOM - DES","Cacna2d2","calcium channel, voltage-dependent, alpha 2/delta subunit 2 [Source:MGI Symbol;Acc:MGI:1929813]","MeA"
"ENSMUSG00000081724",0.930708060015005,0.000643327675792496,0.0919832098795263,"CDOM - DOM","Olfr129","olfactory receptor 129 [Source:MGI Symbol;Acc:MGI:2177512]","MeA"
"ENSMUSG00000027358",0.919364213738406,0.00235308752798452,0.0653831637700765,"DOM - DES","Bmp2","bone morphogenetic protein 2 [Source:MGI Symbol;Acc:MGI:88177]","MeA"
"ENSMUSG00000008393",0.908022683522904,6.185835422684e-06,0.00203582716911,"DOM - DES","Carhsp1","calcium regulated heat stable protein 1 [Source:MGI Symbol;Acc:MGI:1196368]","MeA"
"ENSMUSG00000064325",0.905249482502076,0.00163539880842089,0.0534805000117433,"DOM - DES","Hhip","Hedgehog-interacting protein [Source:MGI Symbol;Acc:MGI:1341847]","MeA"
"ENSMUSG00000030739",0.901760418997373,8.74693057388801e-05,0.00925300298566296,"DOM - DES","Myh14","myosin, heavy polypeptide 14 [Source:MGI Symbol;Acc:MGI:1919210]","MeA"
"ENSMUSG00000036908",0.898864253628057,0.00258247429470839,0.0695389896447841,"DOM - DES","Unc93b1","unc-93 homolog B1 (C. elegans) [Source:MGI Symbol;Acc:MGI:1859307]","MeA"
"ENSMUSG00000034522",0.897218005792097,1.82893097629646e-06,0.0271285331714054,"CDOM - DES","Zfp395","zinc finger protein 395 [Source:MGI Symbol;Acc:MGI:2682318]","mPFC"
"ENSMUSG00000019853",0.896392172845783,0.003478735147747,0.0805272443163783,"DOM - DES","Hebp2","heme binding protein 2 [Source:MGI Symbol;Acc:MGI:1860084]","MeA"
"ENSMUSG00000025094",0.880219506188054,0.0043221955437132,0.0886588864299065,"DOM - DES","Slc18a2","solute carrier family 18 (vesicular monoamine), member 2 [Source:MGI Symbol;Acc:MGI:106677]","MeA"
"ENSMUSG00000003559",0.874176194724492,0.00014242963501628,0.0122750233414584,"DOM - DES","As3mt","arsenic (+3 oxidation state) methyltransferase [Source:MGI Symbol;Acc:MGI:1929882]","MeA"
"ENSMUSG00000057766",0.863756841779798,0.000311076072877684,0.0199438815554914,"DOM - DES","Ankrd29","ankyrin repeat domain 29 [Source:MGI Symbol;Acc:MGI:2687055]","MeA"
"ENSMUSG00000029361",0.862796923747154,0.000394309281333083,0.0863537326119453,"CDOM - DOM","Nos1","nitric oxide synthase 1, neuronal [Source:MGI Symbol;Acc:MGI:97360]","MeA"
"ENSMUSG00000032135",0.862774474796226,0.00491216891075329,0.0953462930121314,"DOM - DES","Mcam","melanoma cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1933966]","MeA"
"ENSMUSG00000027965",0.861887368381778,2.8460605671408e-05,0.00469689416990417,"DOM - DES","Olfm3","olfactomedin 3 [Source:MGI Symbol;Acc:MGI:2387329]","MeA"
"ENSMUSG00000090546",0.860552154204009,0.000677070023260344,0.0327693040669467,"DOM - DES","Cdr1","cerebellar degeneration related antigen 1 [Source:MGI Symbol;Acc:MGI:88359]","MeA"
"ENSMUSG00000053552",0.859915982413365,0.00251097474064316,0.0678604669870898,"DOM - DES","Ebf4","early B cell factor 4 [Source:MGI Symbol;Acc:MGI:2385972]","MeA"
"ENSMUSG00000020183",0.84973687708992,0.00026219284171861,0.0179772036382066,"DOM - DES","Cpm","carboxypeptidase M [Source:MGI Symbol;Acc:MGI:1917824]","MeA"
"ENSMUSG00000071176",0.846888244260873,6.47063502006394e-05,0.00779106541846724,"DOM - DES","Arhgef10","Rho guanine nucleotide exchange factor (GEF) 10 [Source:MGI Symbol;Acc:MGI:2444453]","MeA"
"ENSMUSG00000001334",0.843992978004252,7.27152078344685e-05,0.00815842596991271,"DOM - DES","Fndc5","fibronectin type III domain containing 5 [Source:MGI Symbol;Acc:MGI:1917614]","MeA"
"ENSMUSG00000027712",0.843937522985081,2.27221627208443e-08,0.00010347420563865,"DOM - DES","Anxa5","annexin A5 [Source:MGI Symbol;Acc:MGI:106008]","MeA"
"ENSMUSG00000005125",0.843572302469082,3.6899919781483e-06,0.00143812582095727,"DOM - DES","Ndrg1","N-myc downstream regulated gene 1 [Source:MGI Symbol;Acc:MGI:1341799]","MeA"
"ENSMUSG00000041801",0.838855168036984,0.00113199288204883,0.0451881794693886,"DOM - DES","Phlda3","pleckstrin homology like domain, family A, member 3 [Source:MGI Symbol;Acc:MGI:1351485]","MeA"
"ENSMUSG00000029755",0.837439103949274,0.000441579580480347,0.0263239763000243,"DOM - DES","Dlx5","distal-less homeobox 5 [Source:MGI Symbol;Acc:MGI:101926]","MeA"
"ENSMUSG00000032298",0.836392077661045,0.000610707648145202,0.0919832098795263,"CDOM - DOM","Neil1","nei endonuclease VIII-like 1 (E. coli) [Source:MGI Symbol;Acc:MGI:1920024]","MeA"
"ENSMUSG00000020836",0.836084656888591,0.0037120816019084,0.0825464392256207,"DOM - DES","Coro6","coronin 6 [Source:MGI Symbol;Acc:MGI:2183448]","MeA"
"ENSMUSG00000002190",0.834827244176763,7.39610159368371e-05,0.00817434810466087,"DOM - DES","Clgn","calmegin [Source:MGI Symbol;Acc:MGI:107472]","MeA"
"ENSMUSG00000024593",0.834704024688395,0.00115235345410775,0.0453590669261924,"DOM - DES","Megf10","multiple EGF-like-domains 10 [Source:MGI Symbol;Acc:MGI:2685177]","MeA"
"ENSMUSG00000025905",0.819948800974785,0.000124946393732824,0.0116109241252496,"DOM - DES","Oprk1","opioid receptor, kappa 1 [Source:MGI Symbol;Acc:MGI:97439]","MeA"
"ENSMUSG00000018217",0.817052492869398,0.00134408521769567,0.0481983101067141,"DOM - DES","Pmp22","peripheral myelin protein 22 [Source:MGI Symbol;Acc:MGI:97631]","MeA"
"ENSMUSG00000015806",0.813822660353428,0.000377064581183829,0.0227931691727858,"DOM - DES","Qdpr","quinoid dihydropteridine reductase [Source:MGI Symbol;Acc:MGI:97836]","MeA"
"ENSMUSG00000031714",0.810943464683896,0.000545531522191992,0.0295945855079245,"DOM - DES","Gab1","growth factor receptor bound protein 2-associated protein 1 [Source:MGI Symbol;Acc:MGI:108088]","MeA"
"ENSMUSG00000020656",0.804563829155248,0.000105031548913388,0.0473434052922804,"CDOM - DOM","Grhl1","grainyhead-like 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:2182540]","MeA"
"ENSMUSG00000021294",0.804245563496813,0.00347638605070647,0.0805272443163783,"DOM - DES","Kif26a","kinesin family member 26A [Source:MGI Symbol;Acc:MGI:2447072]","MeA"
"ENSMUSG00000027200",0.799023077941081,5.06799223389179e-07,0.000558325370005668,"DOM - DES","Sema6d","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D [Source:MGI Symbol;Acc:MGI:2387661]","MeA"
"ENSMUSG00000016256",0.797282117487735,0.000115577601598318,0.0110554931238255,"DOM - DES","Ctsz","cathepsin Z [Source:MGI Symbol;Acc:MGI:1891190]","MeA"
"ENSMUSG00000037242",0.796324810423766,7.74402211669947e-06,0.00244019079890041,"DOM - DES","Clic4","chloride intracellular channel 4 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1352754]","MeA"
"ENSMUSG00000049577",0.792319127321815,0.00474210822148319,0.093320381105354,"DOM - DES","Zfpm1","zinc finger protein, multitype 1 [Source:MGI Symbol;Acc:MGI:1095400]","MeA"
