MouseGeneID,HumanOrthologGeneID,Symbol,Synonyms,Description,MitoCarta3.0_List,MitoCarta3.0_Evidence,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,TrainingDataset,MitoCarta2.0_Score,MitoCarta2.0_FDR,MitoCarta2.0_List,MitoCarta2.0_Evidence,EnsemblGeneID,UniProt,ProteinLength,TargetP_Score,MitoDomain_Score,CoexpressionGnfN50_Score,PGC_Induction_Score,YeastMitoHomolog_Score,RickettsiaHomolog_Score,MSMS_Score,mm10_Chromosome,mm10_Start,mm10_Stop,MSMS_NUM_TISSUES,MSMS_NUM_PEPTIDES_UNIQUE,MSMS_NUM_SPECTRA,MSMS_TOTAL_INTENSITY,MSMS_PERCENT_COVERAGE,Tissues,cerebrum_total_peak_intensity_log10,cerebellum_total_peak_intensity_log10,brainstem_total_peak_intensity_log10,spinalcord_total_peak_intensity_log10,kidney_total_peak_intensity_log10,liver_total_peak_intensity_log10,heart_total_peak_intensity_log10,skeletalmuscle_total_peak_intensity_log10,adipose_total_peak_intensity_log10,smallintestine_total_peak_intensity_log10,largeintestine_total_peak_intensity_log10,stomach_total_peak_intensity_log10,placenta_total_peak_intensity_log10,testis_total_peak_intensity_log10,HPA_Main_Location_2020 (Reliability)
208501,284184,Ndufaf8,1810043H04Rik,NADH:ubiquinone oxidoreductase complex assembly factor 8,MitoCarta3.0,"targetP signal, induction, coexpression+, MS/MS",IMS,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tpossible_mito,13.8187,0.009,1,"targetP signal, induction, coexpression+, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75597,91942,Ndufaf2,1810058I14Rik|C86051|Ndufa|Ndufa12l|mim|mimitin,NADH:ubiquinone oxidoreductase complex assembly factor 2,MitoCarta3.0,"literature, APEX_matrix, targetP signal, induction, coexpression, MS/MS++",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,13.491,0.01,1,"literature, APEX_matrix, targetP signal, induction, coexpression, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76916,51300,Timmdc1,2810021C21Rik|4930455C21Rik|AV135763,translocase of inner mitochondrial membrane domain containing 1,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, targetP signal, mito protein domain+, MS/MS++",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,12.7838,0.011,1,"literature, APEX_IMS, APEX_matrix, targetP signal, mito protein domain+, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26940,51295,Ecsit,Sit|Sitpec,ECSIT signalling integrator,MitoCarta3.0,"literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression+",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,12.7364,0.011,1,"literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235169,55572,Foxred1,BC024806|TEG-23|Tex23,FAD-dependent oxidoreductase domain containing 1,MitoCarta3.0,"literature, targetP signal, mito protein domain, coexpression+",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,6.7252,0.041,1,"literature, targetP signal, mito protein domain, coexpression+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66690,25880,Tmem186,2810440M13Rik|4432406C05Rik|AI648175|AW210586,transmembrane protein 186,MitoCarta3.0,"targetP signal, coexpression, MS/MS",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tpossible_mito,5.9905,0.046,1,"targetP signal, coexpression, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66706,25915,Ndufaf3,4733401H18Rik,NADH:ubiquinone oxidoreductase complex assembly factor 3,MitoCarta3.0,"literature, targetP signal, mito protein domain, MS/MS",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,5.7781,0.049,1,"literature, targetP signal, mito protein domain, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66349,55101,Dmac2,2310004L02Rik|At|Atp5sl|C030044E10Rik,distal membrane arm assembly complex 2,MitoCarta3.0,"APEX_matrix, GFP, targetP signal, induction, MS/MS",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,4.8866,0.064,1,"APEX_matrix, GFP, targetP signal, induction, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68472,55863,Tmem126b,1110001A23Rik,transmembrane protein 126B,MitoCarta3.0,"mito protein domain+, MS/MS",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tpossible_mito,4.0801,0.088,0,"mito protein domain+, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66928,90871,Dmac1,1700027K24Rik|3110001D03Rik|Tmem261,distal membrane arm assembly complex 1,MitoCarta3.0,"literature,MS/MS",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tnon_mito,-1.055,0.411,0,MS/MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70316,4706,Ndufab1,2210401F17Rik|2310039H15Rik|2610003B19Rik|8kD|8kDa|9130423F15Rik|ACP|CI-SDAP|SDAP,NADH:ubiquinone oxidoreductase subunit AB1,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, MS/MS+",MIM,OXPHOS > Complex I > CI subunits | Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | OXPHOS > OXPHOS subunits,Tmito,16.5102,0.003,1,"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227197,4719,Ndufs1,5830412M15Rik|9930026A05Rik,NADH:ubiquinone oxidoreductase core subunit S1,MitoCarta3.0,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,35.8677,0,1,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72900,4729,Ndufv2,2900010C23Rik,NADH:ubiquinone oxidoreductase core subunit V2,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, Rickettsial homolog, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,32.8664,0,1,"literature, APEX_matrix, targetP signal+, Rickettsial homolog, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226646,4720,Ndufs2,CI-49kD,NADH:ubiquinone oxidoreductase core subunit S2,MitoCarta3.0,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,31.306,0,1,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17995,4723,Ndufv1,CI-51kD,NADH:ubiquinone oxidoreductase core subunit V1,MitoCarta3.0,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,31.306,0,1,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225887,4728,Ndufs8,BC021616|CI-23kD|TYKY,NADH:ubiquinone oxidoreductase core subunit S8,MitoCarta3.0,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,30.9338,0,1,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75406,374291,Ndufs7,1010001M04Rik|CI-20kD,NADH:ubiquinone oxidoreductase core subunit S7,MitoCarta3.0,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,30.9338,0,1,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67130,4700,Ndufa6,14kD|14kDa|2700038D15Rik|B230217P19Rik,NADH:ubiquinone oxidoreductase subunit A6,MitoCarta3.0,"literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,32.3002,0,1,"literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67264,4714,Ndufb8,2900010I05Rik|AI987932|CI-ASHI,NADH:ubiquinone oxidoreductase subunit B8,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, targetP signal+, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,31.5065,0,1,"literature, APEX_IMS, APEX_matrix, targetP signal+, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407785,4726,Ndufs6,BC059730|IP|IP13,NADH:ubiquinone oxidoreductase core subunit S6,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,29.2395,0.006,1,"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66218,4715,Ndufb9,1190008J14Rik|CI-B22,NADH:ubiquinone oxidoreductase subunit B9,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,29.1898,0.005,1,"literature, APEX_IMS, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66046,4711,Ndufb5,0610007D05Rik|AU015782|CI-SGDH|SGDH,NADH:ubiquinone oxidoreductase subunit B5,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, targetP signal+, mito protein domain+, induction, coexpression++, MS/MS+",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,29.0191,0.005,1,"literature, APEX_IMS, APEX_matrix, targetP signal+, mito protein domain+, induction, coexpression++, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66108,4704,Ndufa9,1010001N11Rik,NADH:ubiquinone oxidoreductase subunit A9,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,27.9693,0.004,1,"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17991,4695,Ndufa2,AV000592|B8|C1-B8|CI-B8,NADH:ubiquinone oxidoreductase subunit A2,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,27.9693,0.004,1,"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17993,4724,Ndufs4,6720411N02Rik|C1-18k,NADH:ubiquinone oxidoreductase core subunit S4,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,27.613,0.004,1,"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230075,4712,Ndufb6,CI-B17|Gm137,NADH:ubiquinone oxidoreductase subunit B6,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,26.5865,0.004,1,"literature, APEX_IMS, APEX_matrix, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68202,4698,Ndufa5,2900002J19Rik|CI-13kD-B,NADH:ubiquinone oxidoreductase subunit A5,MitoCarta3.0,"literature, APEX_matrix, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,26.5865,0.004,1,"literature, APEX_matrix, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595136,4725,Ndufs5,AI256693,NADH:ubiquinone oxidoreductase core subunit S5,MitoCarta3.0,"literature, APEX_IMS, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,25.3323,0.003,1,"literature, APEX_IMS, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68342,4716,Ndufb10,0610011B04Rik|22kD|22kDa|PDSW,NADH:ubiquinone oxidoreductase subunit B10,MitoCarta3.0,"literature, APEX_matrix, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,24.96,0.003,1,"literature, APEX_matrix, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67273,4705,Ndufa10,2900053E13Rik,NADH:ubiquinone oxidoreductase subunit A10,MitoCarta3.0,"literature, targetP signal+, mito protein domain, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,24.0759,0.003,1,"literature, targetP signal+, mito protein domain, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66416,4701,Ndufa7,14.5kD|14.5kDa|2400007M02Rik|CI-B14.5a,NADH:ubiquinone oxidoreductase subunit A7,MitoCarta3.0,"literature, APEX_matrix, mito protein domain+, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,23.2482,0.005,1,"literature, APEX_matrix, mito protein domain+, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78330,4731,Ndufv3,1500032D16Rik,NADH:ubiquinone oxidoreductase core subunit V3,MitoCarta3.0,"literature, APEX_matrix, targetP signal, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,22.475,0.005,1,"literature, APEX_matrix, targetP signal, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68198,4708,Ndufb2,1810011O01Rik|8kD|8kDa|AGGG|AI325567|CI-AGGG,NADH:ubiquinone oxidoreductase subunit B2,MitoCarta3.0,"literature, targetP signal, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,22.475,0.005,1,"literature, targetP signal, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68197,4718,Ndufc2,1810004I06Rik|2010300P09Rik|G1|R75094,NADH:ubiquinone oxidoreductase subunit C2,MitoCarta3.0,"literature, APEX_IMS, mito protein domain+, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,21.4388,0.004,1,"literature, APEX_IMS, mito protein domain+, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68375,4702,Ndufa8,0610033L03Rik|AW261656|CI-19kD|CI-PGIV,NADH:ubiquinone oxidoreductase subunit A8,MitoCarta3.0,"literature, APEX_IMS, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,21.4229,0.004,1,"literature, APEX_IMS, mito protein domain, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104130,54539,Ndufb11,CI-ESSS|D5Bwg0566e|D5Bwg0577e|NP15.6|Np|Np15|p15.6,NADH:ubiquinone oxidoreductase subunit B11,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, targetP signal+, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,20.6685,0.004,1,"literature, APEX_IMS, APEX_matrix, targetP signal+, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66414,55967,Ndufa12,2410011G03Rik|AW112974|CI-B17.2|CIB17.2,NADH:ubiquinone oxidoreductase subunit A12,MitoCarta3.0,"literature, APEX_matrix, Rickettsial homolog, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,19.9181,0.004,1,"literature, APEX_matrix, Rickettsial homolog, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68349,4722,Ndufs3,0610010M09Rik|CI-30kD,NADH:ubiquinone oxidoreductase core subunit S3,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,18.6136,0.003,1,"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66916,4713,Ndufb7,1110002H15Rik,NADH:ubiquinone oxidoreductase subunit B7,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,18.3878,0.003,1,"literature, APEX_IMS, APEX_matrix, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66377,4717,Ndufc1,2310016K22Rik|KFYI,NADH:ubiquinone oxidoreductase subunit C1,MitoCarta3.0,"literature, targetP signal+, mito protein domain+, coexpression++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,17.3917,0.003,1,"literature, targetP signal+, mito protein domain+, coexpression++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66091,4696,Ndufa3,1010001M12Rik|1700022J01Rik,NADH:ubiquinone oxidoreductase subunit A3,MitoCarta3.0,"literature, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,16.7613,0.003,1,"literature, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67184,51079,Ndufa13,2700054G14Rik|AU022060|CDA01|CDA016|CGI-3|CGI-39|CI-B16.6|GRIM-|GRIM-19|Grim|Grim19,NADH:ubiquinone oxidoreductase subunit A13,MitoCarta3.0,"literature, APEX_IMS, mito protein domain, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,16.2752,0.004,1,"literature, APEX_IMS, mito protein domain, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66495,4709,Ndufb3,2700033I16Rik|CI-B12,NADH:ubiquinone oxidoreductase subunit B3,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, mito protein domain+, coexpression+, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,16.0023,0.005,1,"literature, APEX_IMS, APEX_matrix, mito protein domain+, coexpression+, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69875,126328,Ndufa11,2010012C24Rik|AV006275|B14.7,NADH:ubiquinone oxidoreductase subunit A11,MitoCarta3.0,"literature, APEX_IMS, mito protein domain+, induction, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,15.7005,0.006,1,"literature, APEX_IMS, mito protein domain+, induction, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
